,Name job,Link,Min_salary,Max_salary,Where,Employer,Employer_link,Address
40,Python разработчик,https://hh.ru/vacancy/47977485?from=vacancy_search_list&query=Python,,300000.0,hh.ru,Spice Agency,https://hh.ru/employer/654435,Москва
41,Backend разработчик Python,https://hh.ru/vacancy/49149963?from=vacancy_search_list&query=Python,,,hh.ru,Билайн,https://hh.ru/employer/4934,Москва
42,"Middle Python-developer (aiohttp, asyncio)",https://hh.ru/vacancy/48393786?from=vacancy_search_list&query=Python,,200000.0,hh.ru,KTS,https://hh.ru/employer/3202190,"Москва, Бауманская"
43,Python-разработчик (Middle) удаленно,https://hh.ru/vacancy/47449635?from=vacancy_search_list&query=Python,,220000.0,hh.ru,Латера,https://hh.ru/employer/1050345,Москва
44,Python разработчик,https://hh.ru/vacancy/49128117?from=vacancy_search_list&query=Python,,,hh.ru,IPONWEB Ltd (UK),https://hh.ru/employer/65093,"Москва, Шаболовская"
45,Разработчик Python,https://hh.ru/vacancy/47769516?from=vacancy_search_list&query=Python,,,hh.ru,Cognitive Pilot,https://hh.ru/employer/4468207,Москва
46,Python Developer,https://hh.ru/vacancy/49046919?from=vacancy_search_list&query=Python,135000.0,187000.0,hh.ru,ООО Ябби,https://hh.ru/employer/2977097,Москва
47,Senior Python Developer,https://hh.ru/vacancy/48847592?from=vacancy_search_list&query=Python,278000.0,417000.0,hh.ru,Top Remote Talent,https://hh.ru/employer/4955407,Москва
48,"Программист (ROS, Python и С++)",https://hh.ru/vacancy/48539184?from=vacancy_search_list&query=Python,,,hh.ru,MAKERT,https://hh.ru/employer/4991195,Москва
49,Python developer (Автографик),https://hh.ru/vacancy/47431643?from=vacancy_search_list&query=Python,,,hh.ru,Домклик,https://hh.ru/employer/2136954,Москва
50,Python developer (проект),https://hh.ru/vacancy/48875298?from=vacancy_search_list&query=Python,,,hh.ru,ООО Грин Грей Софтворкс,https://hh.ru/employer/5008916,Москва
51,Senior Python Developer,https://hh.ru/vacancy/48293376?from=vacancy_search_list&query=Python,242000.0,,hh.ru,ООО РД Технологии,https://hh.ru/employer/3072335,"Москва, Бауманская"
52,Python developer (Big Data),https://hh.ru/vacancy/49152219?from=vacancy_search_list&query=Python,,,hh.ru,"ПАО «МТС», IT",https://hh.ru/employer/3776?dpt=mts-3776-it,"Москва, Технопарк"
53,Разработчик Python,https://hh.ru/vacancy/47381562?from=vacancy_search_list&query=Python,,,hh.ru,АО ИнфоТеКС,https://hh.ru/employer/3778,"Москва, Отрадное"
54,Python Developer,https://hh.ru/vacancy/49144323?from=vacancy_search_list&query=Python,,,hh.ru,ООО Национальная Билетная Система,https://hh.ru/employer/5322783,Москва
55,Python-разработчик,https://hh.ru/vacancy/47499212?from=vacancy_search_list&query=Python,200000.0,300000.0,hh.ru,Novakid Inc,https://hh.ru/employer/851716,Москва
56,Python разработчик,https://hh.ru/vacancy/41816310?from=vacancy_search_list&query=Python,,,hh.ru,BANZAI.GAMES,https://hh.ru/employer/2770600,Москва
57,Data Analyst,https://hh.ru/vacancy/48502218?from=vacancy_search_list&query=Python,,300000.0,hh.ru,4CV Recruitment Services,https://hh.ru/employer/5231648,Москва
58,Разработчик (Python),https://hh.ru/vacancy/40551245?from=vacancy_search_list&query=Python,100000.0,160000.0,hh.ru,Институт прикладных экономических исследований РАНХиГС при Президенте Российской Федерации,https://hh.ru/employer/3094338,"Москва, Юго-Западная"
59,Python-разработчик,https://hh.ru/vacancy/48274018?from=vacancy_search_list&query=Python,,,hh.ru,"VK, Delivery Club",https://hh.ru/employer/15478?dpt=mailru-15478-dc,"Москва, Аэропорт"
60,Python Developer,https://hh.ru/vacancy/42358806?from=vacancy_search_list&query=Python,,,hh.ru,Онлайн-школа Тетрика,https://hh.ru/employer/3731347,"Москва, Курская"
61,Python/Go разработчик,https://hh.ru/vacancy/48410676?from=vacancy_search_list&query=Python,,,hh.ru,Quiet Media,https://hh.ru/employer/4422327,"Москва, Киевская и еще 2 "
62,Разработчик Python,https://hh.ru/vacancy/46777697?from=vacancy_search_list&query=Python,,,hh.ru,Центр Агроаналитики,https://hh.ru/employer/869634,Москва
63,Разработчик Python,https://hh.ru/vacancy/49110579?from=vacancy_search_list&query=Python,,,hh.ru,ADV/web-engineering,https://hh.ru/employer/421950,"Москва, Дмитровская"
64,Разработчик внутренней автоматизации (Python),https://hh.ru/vacancy/48405072?from=vacancy_search_list&query=Python,,,hh.ru,СберИгры,https://hh.ru/employer/5437858,Москва
65,Python senior developer / Старший Python-Разработчик,https://hh.ru/vacancy/47484744?from=vacancy_search_list&query=Python,250000.0,,hh.ru,BestDoctor,https://hh.ru/employer/2730772,Москва
66,Middle разработчик Python / Django (удалённо),https://hh.ru/vacancy/48923479?from=vacancy_search_list&query=Python,,,hh.ru,ООО Диджитал Пайн,https://hh.ru/employer/1514066,Москва
67,Python Developer (Customization Blitz),https://hh.ru/vacancy/47898759?from=vacancy_search_list&query=Python,,,hh.ru,"Wargaming, Moscow",https://hh.ru/employer/662769?dpt=662769-662769-moscow,Москва
68,Программист разработчик на Python,https://hh.ru/vacancy/48959792?from=vacancy_search_list&query=Python,110000.0,160000.0,hh.ru,"ГРЧЦ, ФГУП",https://hh.ru/employer/30485,"Москва, Павелецкая"
69,Python developer,https://hh.ru/vacancy/48934894?from=vacancy_search_list&query=Python,,,hh.ru,Colvir Software Solutions,https://hh.ru/employer/707817,Москва
70,Senior Python Developer,https://hh.ru/vacancy/49130051?from=vacancy_search_list&query=Python,,242000.0,hh.ru,ООО Globus.ai,https://hh.ru/employer/3194188,Москва
71,Python Developer,https://hh.ru/vacancy/47288057?from=vacancy_search_list&query=Python,,,hh.ru,Artezio,https://hh.ru/employer/733?dpt=733-733-artezio,"Москва, Маяковская"
72,Backend developer python,https://hh.ru/vacancy/47799772?from=vacancy_search_list&query=Python,,,hh.ru,Билайн,https://hh.ru/employer/4934,Москва
73,Backend разработчик (Python),https://hh.ru/vacancy/47176790?from=vacancy_search_list&query=Python,170000.0,250000.0,hh.ru,Tevian (ООО Технологии видеоанализа),https://hh.ru/employer/4046921,Москва
74,Python Developer,https://hh.ru/vacancy/49149656?from=vacancy_search_list&query=Python,,,hh.ru,"АТОЛ, группа компаний",https://hh.ru/employer/3343,Москва
75,Python developer,https://hh.ru/vacancy/48253082?from=vacancy_search_list&query=Python,,,hh.ru,ООО Константа,https://hh.ru/employer/2279941,"Москва, Красносельская"
76,Python Developer,https://hh.ru/vacancy/48715724?from=vacancy_search_list&query=Python,,300000.0,hh.ru,ООО Ньюком Дистрибьюшн,https://hh.ru/employer/5261327,Москва
